Symbol;Price;Change24;Max24;Min24;Volume24
BCHUPUSDT;0.07476000;-1.593;0.07714000;0.07025000;204435.26998770
BCHUPUSDT;0.07476000;-1.593;0.07714000;0.07025000;204435.26998770
BCHUPUSDT;0.07476000;-1.593;0.07714000;0.07025000;204435.26998770
BCHUPUSDT;0.07476000;-1.593;0.07714000;0.07025000;204435.26998770
BCHUPUSDT;0.07476000;-1.593;0.07714000;0.07025000;204435.26998770
BCHUPUSDT;0.07476000;-1.216;0.07714000;0.07025000;204353.31051290
BCHUPUSDT;0.07476000;-1.216;0.07714000;0.07025000;204353.31051290
BCHUPUSDT;0.07476000;-1.216;0.07714000;0.07025000;204353.31051290
BCHUPUSDT;0.07476000;-1.216;0.07714000;0.07025000;204353.31051290
BCHUPUSDT;0.07476000;-1.216;0.07714000;0.07025000;204353.31051290
BCHUPUSDT;0.07476000;-1.216;0.07714000;0.07025000;204353.31051290
BCHUPUSDT;0.07476000;-1.216;0.07714000;0.07025000;204353.31051290
BCHUPUSDT;0.07476000;-1.216;0.07714000;0.07025000;204353.31051290
BCHUPUSDT;0.07476000;-1.216;0.07714000;0.07025000;204353.31051290
BCHUPUSDT;0.07476000;-1.216;0.07714000;0.07025000;204353.31051290
BCHUPUSDT;0.07476000;-1.216;0.07714000;0.07025000;204353.31051290
BCHUPUSDT;0.07476000;-1.216;0.07714000;0.07025000;204353.31051290
BCHUPUSDT;0.07476000;-1.216;0.07714000;0.07025000;204353.31051290
BCHUPUSDT;0.07476000;-1.216;0.07714000;0.07025000;204353.31051290
BCHUPUSDT;0.07476000;-1.216;0.07714000;0.07025000;204353.31051290
BCHUPUSDT;0.07476000;-1.216;0.07714000;0.07025000;204353.31051290
BCHUPUSDT;0.07476000;-1.216;0.07714000;0.07025000;204353.31051290
BCHUPUSDT;0.07476000;-1.216;0.07714000;0.07025000;204353.31051290
BCHUPUSDT;0.07476000;-1.216;0.07714000;0.07025000;204353.31051290
BCHUPUSDT;0.07476000;-1.216;0.07714000;0.07025000;204353.31051290
BCHUPUSDT;0.07476000;-1.216;0.07714000;0.07025000;204353.31051290
BCHUPUSDT;0.07476000;-1.216;0.07714000;0.07025000;204353.31051290
BCHUPUSDT;0.07476000;-1.216;0.07714000;0.07025000;204353.31051290
BCHUPUSDT;0.07476000;-1.216;0.07714000;0.07025000;204353.31051290
BCHUPUSDT;0.07476000;-1.216;0.07714000;0.07025000;204353.31051290
BCHUPUSDT;0.07476000;-1.385;0.07714000;0.07025000;202098.35537000
BCHUPUSDT;0.07476000;-1.385;0.07714000;0.07025000;199857.31392260
BCHUPUSDT;0.07476000;-1.476;0.07714000;0.07025000;197630.37567160
BCHUPUSDT;0.07476000;-0.888;0.07714000;0.07025000;196521.02448880
BCHUPUSDT;0.07476000;-1.476;0.07714000;0.07025000;193229.80172460
BCHUPUSDT;0.07476000;-1.333;0.07714000;0.07025000;191057.18614290
BCHUPUSDT;0.07476000;-0.214;0.07714000;0.07025000;187838.03422830
BCHUPUSDT;0.07476000;-1.006;0.07714000;0.07025000;184678.87988410
BCHUPUSDT;0.07476000;-1.006;0.07714000;0.07025000;184678.87988410
BCHUPUSDT;0.07476000;-1.320;0.07714000;0.07025000;180268.88228200
BCHUPUSDT;0.07476000;-1.150;0.07714000;0.07025000;175679.58136150
BCHUPUSDT;0.07476000;-0.386;0.07714000;0.07025000;172672.78785950
BCHUPUSDT;0.07476000;-1.216;0.07714000;0.07025000;171682.31559310
BCHUPUSDT;0.07476000;-1.203;0.07714000;0.07025000;171523.41529620
BCHUPUSDT;0.07476000;-1.203;0.07714000;0.07025000;171523.41529620
BCHUPUSDT;0.07476000;-1.150;0.07714000;0.07025000;169658.59727040
BCHUPUSDT;0.07476000;-0.439;0.07714000;0.07025000;168675.83613710
BCHUPUSDT;0.07476000;-1.541;0.07714000;0.07025000;167702.47206190
BCHUPUSDT;0.07476000;-1.541;0.07714000;0.07025000;167702.47206190
BCHUPUSDT;0.07476000;-1.541;0.07714000;0.07025000;167702.47206190
BCHUPUSDT;0.07476000;-1.541;0.07714000;0.07025000;167702.47206190
BCHUPUSDT;0.07476000;-1.541;0.07714000;0.07025000;167702.47206190
BCHUPUSDT;0.07476000;-1.541;0.07714000;0.07025000;167702.47206190
BCHUPUSDT;0.07476000;-1.541;0.07714000;0.07025000;167702.47206190
BCHUPUSDT;0.07476000;-1.541;0.07714000;0.07025000;167702.47206190
BCHUPUSDT;0.07476000;-1.541;0.07714000;0.07025000;167702.47206190
BCHUPUSDT;0.07476000;-1.541;0.07714000;0.07025000;167702.47206190
BCHUPUSDT;0.07476000;-1.541;0.07714000;0.07025000;167702.47206190
BCHUPUSDT;0.07476000;-1.541;0.07714000;0.07025000;167702.47206190
BCHUPUSDT;0.07476000;-1.541;0.07714000;0.07025000;167702.47206190
BCHUPUSDT;0.07476000;-1.541;0.07714000;0.07025000;167702.47206190
BCHUPUSDT;0.07476000;-1.606;0.07714000;0.07025000;149274.23552410
BCHUPUSDT;0.07476000;-0.901;0.07714000;0.07025000;148439.34405780
BCHUPUSDT;0.07476000;-1.137;0.07714000;0.07025000;147314.30662700
BCHUPUSDT;0.07476000;-1.137;0.07714000;0.07025000;147314.30662700
BCHUPUSDT;0.07476000;-0.862;0.07714000;0.07025000;147303.36063200
BCHUPUSDT;0.07476000;-0.862;0.07714000;0.07025000;147303.36063200
BCHUPUSDT;0.07476000;-0.862;0.07714000;0.07025000;147303.36063200
BCHUPUSDT;0.07476000;-1.372;0.07714000;0.07025000;142524.70115620
BCHUPUSDT;0.07476000;-1.372;0.07714000;0.07025000;142524.70115620
BCHUPUSDT;0.07359000;-2.916;0.07714000;0.07025000;147048.30007350
BCHUPUSDT;0.07359000;-1.985;0.07714000;0.07025000;138860.43057570
BCHUPUSDT;0.07359000;-2.362;0.07714000;0.07025000;132204.76454910
BCHUPUSDT;0.07359000;-2.362;0.07714000;0.07025000;130840.49070060
BCHUPUSDT;0.07359000;-2.024;0.07714000;0.07025000;127835.53519420
BCHUPUSDT;0.07359000;-2.024;0.07714000;0.07025000;127835.53519420
BCHUPUSDT;0.07359000;-2.024;0.07714000;0.07025000;127835.53519420
BCHUPUSDT;0.07359000;-2.024;0.07714000;0.07025000;127835.53519420
BCHUPUSDT;0.07359000;-2.024;0.07714000;0.07025000;127835.53519420
BCHUPUSDT;0.07359000;-2.284;0.07714000;0.07025000;122738.74930250
BCHUPUSDT;0.07359000;-2.723;0.07714000;0.07025000;122698.74914910
BCHUPUSDT;0.07359000;-2.723;0.07714000;0.07025000;122698.74914910
BCHUPUSDT;0.07359000;-2.723;0.07714000;0.07025000;122698.74914910
BCHUPUSDT;0.07359000;-2.723;0.07714000;0.07025000;122698.74914910
BCHUPUSDT;0.07359000;-2.723;0.07714000;0.07025000;122698.74914910
BCHUPUSDT;0.07359000;-2.723;0.07714000;0.07025000;122698.74914910
BCHUPUSDT;0.07359000;-2.723;0.07714000;0.07025000;122698.74914910
BCHUPUSDT;0.07359000;-2.723;0.07714000;0.07025000;122698.74914910
BCHUPUSDT;0.07359000;-2.723;0.07714000;0.07025000;122698.74914910
BCHUPUSDT;0.07359000;-2.723;0.07714000;0.07025000;122698.74914910
BCHUPUSDT;0.07359000;-2.723;0.07714000;0.07025000;122698.74914910
BCHUPUSDT;0.07359000;-2.723;0.07714000;0.07025000;122698.74914910
BCHUPUSDT;0.07359000;-2.723;0.07714000;0.07025000;122698.74914910
BCHUPUSDT;0.07359000;-2.723;0.07714000;0.07025000;122698.74914910
BCHUPUSDT;0.07359000;-2.723;0.07714000;0.07025000;122698.74914910
BCHUPUSDT;0.07359000;-2.723;0.07714000;0.07025000;122698.74914910
BCHUPUSDT;0.07359000;-2.723;0.07714000;0.07025000;122698.74914910
BCHUPUSDT;0.07359000;-2.723;0.07714000;0.07025000;122698.74914910
BCHUPUSDT;0.07359000;-2.723;0.07714000;0.07025000;122698.74914910
BCHUPUSDT;0.07359000;-2.723;0.07714000;0.07025000;122698.74914910
BCHUPUSDT;0.07359000;-2.723;0.07714000;0.07025000;122698.74914910
BCHUPUSDT;0.07359000;-2.723;0.07714000;0.07025000;122698.74914910
BCHUPUSDT;0.07359000;-2.723;0.07714000;0.07025000;122698.74914910
BCHUPUSDT;0.07359000;-2.723;0.07714000;0.07025000;122698.74914910
BCHUPUSDT;0.07359000;-2.723;0.07714000;0.07025000;122698.74914910
BCHUPUSDT;0.07359000;-2.723;0.07714000;0.07025000;122698.74914910
BCHUPUSDT;0.07359000;-2.723;0.07714000;0.07025000;122698.74914910
BCHUPUSDT;0.07359000;-2.723;0.07714000;0.07025000;122698.74914910
BCHUPUSDT;0.07359000;-2.723;0.07714000;0.07025000;122698.74914910
BCHUPUSDT;0.07359000;-2.723;0.07714000;0.07025000;122698.74914910
BCHUPUSDT;0.07359000;-2.723;0.07714000;0.07025000;122698.74914910
BCHUPUSDT;0.07359000;-2.723;0.07714000;0.07025000;122698.74914910
BCHUPUSDT;0.07359000;-2.723;0.07714000;0.07025000;122698.74914910
BCHUPUSDT;0.07359000;-2.723;0.07714000;0.07025000;122698.74914910
BCHUPUSDT;0.07359000;-2.723;0.07714000;0.07025000;122698.74914910
BCHUPUSDT;0.07359000;-2.723;0.07714000;0.07025000;122698.74914910
BCHUPUSDT;0.07359000;-2.723;0.07714000;0.07025000;122698.74914910
BCHUPUSDT;0.07359000;-2.491;0.07714000;0.07025000;122683.42094610
BCHUPUSDT;0.07359000;-2.491;0.07714000;0.07025000;122683.42094610
BCHUPUSDT;0.07359000;-2.491;0.07714000;0.07025000;122683.42094610
BCHUPUSDT;0.07359000;-2.491;0.07714000;0.07025000;122683.42094610
BCHUPUSDT;0.07359000;-2.452;0.07714000;0.07025000;122381.54094610
BCHUPUSDT;0.07359000;-2.646;0.07714000;0.07025000;122012.24997570
BCHUPUSDT;0.07359000;-2.646;0.07714000;0.07025000;122012.24997570
BCHUPUSDT;0.07359000;-2.646;0.07714000;0.07025000;122012.24997570
BCHUPUSDT;0.07359000;-2.646;0.07714000;0.07025000;122012.24997570
BCHUPUSDT;0.07359000;-2.646;0.07714000;0.07025000;122012.24997570
BCHUPUSDT;0.07359000;-2.646;0.07714000;0.07025000;122113.87272820
BCHUPUSDT;0.07359000;-2.646;0.07714000;0.07025000;122113.87272820
BCHUPUSDT;0.07359000;-2.646;0.07714000;0.07025000;122113.87272820
BCHUPUSDT;0.07359000;-2.646;0.07714000;0.07025000;122113.87272820
BCHUPUSDT;0.07359000;-2.646;0.07714000;0.07025000;122113.87272820
BCHUPUSDT;0.07359000;-2.646;0.07714000;0.07025000;122113.87272820
BCHUPUSDT;0.07359000;-2.646;0.07714000;0.07025000;122113.87272820
BCHUPUSDT;0.07359000;-2.646;0.07714000;0.07025000;122113.87272820
BCHUPUSDT;0.07359000;-2.646;0.07714000;0.07025000;122113.87272820
BCHUPUSDT;0.07359000;-2.762;0.07714000;0.07025000;122071.87416830
BCHUPUSDT;0.07359000;-2.762;0.07714000;0.07025000;122071.87416830
BCHUPUSDT;0.07359000;-2.762;0.07714000;0.07025000;122071.87416830
BCHUPUSDT;0.07359000;-2.762;0.07714000;0.07025000;122071.87416830
BCHUPUSDT;0.07359000;-3.539;0.07714000;0.07025000;122050.16796640
BCHUPUSDT;0.07359000;-3.539;0.07714000;0.07025000;122050.16796640
BCHUPUSDT;0.07359000;-3.539;0.07714000;0.07025000;122050.16796640
